codigo;codempresa;codigo_administrativo;codigo_unit;razao_social;nome_fantasia;responsavel;cnpj;contato_nome;contato_ddd1;contato_telefone1;inscricao_estadual;inscricao_municipal;ramo_atividade;tratamento;estado_civil;oab;cpf;rg;nascimento;profissao;nacionalidade;logradouro;numero;complemento;bairro;cep;cidade;uf;ddd1;telefone1;ddd2;telefone2;ddd3;telefone3;email1;email2;site;observacoes;cliente;tipocliente;ativo;inclusao;matricula;grupo_cliente;contato_nome2;contato_nome3;contato_ddd2;contato_ddd3;contato_telefone2;contato_telefone3;contato_setor1;contato_setor2;contato_setor3;contato_email1;contato_email2;contato_email3;ddd_comercial;telefone_comercial;pis;nome_pai;nome_mae;pac;visualizado_relatorio_pac;pac_regional;cod_fase_cliente;migracao;razao_social_2;migracao2;cpf_cnpj;escritorio;cod_perfil_cliente;campo_livre1;campo_livre2;cod_campo_livre2;cod_terceiro_categoria;numero_pasta;migracao_parceiro;cod_cliente_estado_civil;cod_usuario;cod_estado_brasil;migracao3;cod_escolaridade
106207729;92577;;0;Fulano(a) 1;;;;;;;;;;;;;123.456.789-00;UF 1.234.567;27/02/1957 00:00;;Brasileiro;Rua dos Candidatos, Escola Advbox, n 1;;;Centro;123456-00;Floripa;SC;;;;(00) 9999-1111;;;;;;Obs 1;FI;1;0;11/02/2022 14:52;;57759;;;;;;;;;;;;;;;;Jos� 1;Maria 1;0;0;;1;;FULANO(A) 1;;123.456.789-00;;0;;;;;1367;;;;;;
106206605;92577;;0;Fulano(a) 2;;;;;;;;;;;CA;;123.456.789-01;12.123.123-0;13/01/1966 00:00;;Brasileira;Rua dos Candidatos, Escola Advbox, n 2;;;Centro;123456-01;Florianopolis;SC;;;;(00) 9999-1112;;;;;;Obs 2;FI;1;1;11/02/2022 11:53;;57759;;;;;;;;;;;;;;;;Jos� 2;Maria 2;0;0;;1;;FULANO(A) 2;;123.456.789-01;;0;;;;;1366;;;;;;
8897738;92577;;0;Fulano(a) 3;;;;;;;;;;;CA;;123.456.789-02;12.123.123-1;10/05/1982 00:00;Empresário;Brasileiro;Rua dos Candidatos, Escola Advbox, n 3;;;Centro;123456-02;Florianopolis;SC;;(00) 1234-4567;;(00) 9999-1113;;;c1@hotmail.com;c2@gmail.com;;Obs 3;FI;1;0;04/07/2014 09:41;;57759;;;;;;;;;;;;;;;12345678910;Jos� 3;Maria 3;0;0;;1;;FULANO(A) 3;;123.456.789-02;;0;OI;;7461;;341;;;;;;
5251301;92577;;0;Fulano(a) 4;;;;;;;;;;;CA;;123.456.789-03;12.123.123-2;01/01/1956 00:00;Auxiliar de Serviços Gerais;Brasileira;Rua dos Candidatos, Escola Advbox, n 4;;;Centro;123456-03;Florianopolis;SC;;(00) 1234-4568;;(00) 9999-1114;;;;c3@gmail.com;;Obs 4;FI;1;1;29/01/2013 12:09;;57759;;;;;;;;;;;;;;;12345678911;Jos� 4;Maria 4;0;0;;1;;FULANO(A) 4;;123.456.789-03;;0;TIM;;6280;;160;;;;;;
13203419;92577;;0;Fulano(a) 5;;;;Jana;;(00) 1234-5456;;;;;CA;;123.456.789-04;12.123.123-3;14/04/1963 00:00;Industriário;Brasileira;Rua dos Candidatos, Escola Advbox, n 5;;;Centro;123456-04;Floripa;Sc;;(00) 1234-4569;;(00) 9999-1115;;;c4@hotmail.com;;;Obs 5;FI;1;1;20/04/2016 16:23;;57759;;;;;;;;;;;;;;;12345678912;Jos� 5;Maria 5;0;0;;1;;FULANO(A) 5;;123.456.789-04;;0;TIM;;6280;;560;;;;;;
106201416;92577;;0;Fulano(a) 6;;;;;;;;;;;;;123.456.789-05;12.123.123-4;22/04/1974 00:00;;Brasileiro;Rua dos Candidatos, Escola Advbox, n 6;;;Centro;12345605;Floripa;Sc;;;;;;;;;;(00) 9999-1116;FI;1;0;10/02/2022 12:03;;57759;;;;;;;;;;;;;;;12345678913;Jos� 6;Maria 6;0;0;;1;;FULANO(A) 6;;123.456.789-05;;0;;;;;1365;;;;;;
10147446;92577;;0;Fulano(a) 7;;;;;;;;;;;DV;;123.456.789-06;12.123.123-5;21/04/1970 00:00;Industriario;Brasileiro;Rua dos Candidatos, Escola Advbox, n 7;;;Centro;123.456-06;Floripa;SC;;(00) 1234-4571;;(00) 9999-1117;;;;;;c5@gmail.com;FI;1;1;21/01/2015 16:16;;57759;;;;;;;;;;;;;;;12345678914;Jos� 7;Maria 7;0;0;;1;;FULANO(A) 7;;123.456.789-06;;0;OI;;6279;;407;;;;;;
105790012;92577;;0;Fulano(a) 8;;;;Jana;;(00) 1234-5457;;;;;CA;;123.456.789-07;12.123.123-6;15/05/1968 00:00;Industriario;Brasileiro;Rua dos Candidatos, Escola Advbox, n 8;;;Centro;123.456-07;Rib. Do Pinhal;PR;;(00) 1234-4572;;(00) 9999-1118;;;;;;Obs 8;FI;1;1;20/10/2021 11:40;;57759;;;;;;;;;;;;;;;12345678915;Jos� 8;Maria 8;0;0;;1;;FULANO(A) 8;;123.456.789-07;;0;;;;;1328;;;;;;1
103900988;92577;;0;Fulano(a) 9;;;;;;(00) 1234-5458;;;;;CA;;123.456.789-08;12.123.123-7;26/12/1982 00:00;Bombeiro Civil;Brasileira;Rua dos Candidatos, Escola Advbox, n 9;;;Centro;12345608;Ribeirao do Pinhal;PR;;(00) 1234-4573;;(00) 9999-1119;;(00) 3333-1111;;;;Obs 9;FI;1;1;25/06/2020 18:10;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5457;12345678916;Jos� 9;Maria 9;0;0;;1;;FULANO(A) 9;;123.456.789-08;;100040194;;;6279;;1134;;;;;;4
106195506;92577;;0;Fulano(a) 10;;;;;;(00) 1234-5459;;;;;;;123.456.789-09;12.123.123-8;03/01/1969 00:00;;Brasileira;Rua dos Candidatos, Escola Advbox, n 10;;;Centro;123456-09;Ribei. Pinhal;PR;;(00) 1234-4574;;(00) 9999-1120;;(00) 3333-1112;;;;Motorista DE Aplicativo;FI;1;0;09/02/2022 11:44;;57759;;;;;;;;;;;;;;irm�o (00) 1234-5458;12345678917;Jos� 10;Maria 10;0;0;;1;;FULANO(A) 10;;123.456.789-09;;0;;;;;1364;;;;;;
